변환,원자료
2012-04-12,"4,921,500,000,000"
2012-04-13,"5,082,700,000,000"
2012-04-16,"3,846,800,000,000"
2012-04-17,"3,931,400,000,000"
2012-04-18,"4,566,400,000,000"
2012-04-19,"4,030,900,000,000"
2012-04-20,"4,750,600,000,000"
2012-04-23,"3,520,600,000,000"
2012-04-24,"4,983,600,000,000"
2012-04-25,"4,941,200,000,000"
2012-04-26,"5,268,800,000,000"
2012-04-27,"5,284,900,000,000"
2012-04-30,"6,235,200,000,000"
2012-05-02,"6,227,600,000,000"
2012-05-03,"4,572,100,000,000"
2012-05-04,"4,828,700,000,000"
2012-05-07,"4,703,600,000,000"
2012-05-08,"4,107,900,000,000"
2012-05-09,"4,893,600,000,000"
2012-05-10,"4,379,600,000,000"
2012-05-11,"4,334,800,000,000"
2012-05-14,"3,964,800,000,000"
2012-05-15,"5,114,700,000,000"
2012-05-16,"5,468,700,000,000"
2012-05-17,"5,589,100,000,000"
2012-05-18,"5,654,900,000,000"
2012-05-21,"4,214,300,000,000"
2012-05-22,"4,799,600,000,000"
2012-05-23,"4,150,000,000,000"
2012-05-24,"3,481,900,000,000"
2012-05-25,"3,485,700,000,000"
2012-05-29,"3,698,900,000,000"
2012-05-30,"3,621,800,000,000"
2012-05-31,"4,563,700,000,000"
2012-06-01,"3,472,700,000,000"
2012-06-04,"4,859,600,000,000"
2012-06-05,"3,475,400,000,000"
2012-06-07,"4,524,800,000,000"
2012-06-08,"3,397,700,000,000"
2012-06-11,"4,408,900,000,000"
2012-06-12,"3,587,700,000,000"
2012-06-13,"3,735,400,000,000"
2012-06-14,"4,765,400,000,000"
2012-06-15,"4,449,400,000,000"
2012-06-18,"4,386,800,000,000"
2012-06-19,"3,443,500,000,000"
2012-06-20,"3,635,000,000,000"
2012-06-21,"3,736,000,000,000"
2012-06-22,"4,280,900,000,000"
2012-06-25,"4,078,300,000,000"
2012-06-26,"3,581,400,000,000"
2012-06-27,"4,232,400,000,000"
2012-06-28,"3,090,500,000,000"
2012-06-29,"4,293,000,000,000"
2012-07-02,"3,542,700,000,000"
2012-07-03,"4,772,400,000,000"
2012-07-04,"4,532,100,000,000"
2012-07-05,"3,543,400,000,000"
2012-07-06,"3,559,300,000,000"
2012-07-09,"3,252,300,000,000"
2012-07-10,"3,314,000,000,000"
2012-07-11,"3,285,600,000,000"
2012-07-12,"4,213,500,000,000"
2012-07-13,"4,663,000,000,000"
2012-07-16,"3,186,700,000,000"
2012-07-17,"4,025,900,000,000"
2012-07-18,"4,366,400,000,000"
2012-07-19,"4,624,000,000,000"
2012-07-20,"3,515,100,000,000"
2012-07-23,"3,588,100,000,000"
2012-07-24,"4,075,000,000,000"
2012-07-25,"3,771,800,000,000"
2012-07-26,"3,766,300,000,000"
2012-07-27,"4,543,300,000,000"
2012-07-30,"3,833,300,000,000"
2012-07-31,"5,535,600,000,000"
2012-08-01,"3,733,700,000,000"
2012-08-02,"3,350,400,000,000"
2012-08-03,"3,601,800,000,000"
2012-08-06,"4,127,400,000,000"
2012-08-07,"3,465,100,000,000"
2012-08-08,"5,626,300,000,000"
2012-08-09,"6,426,200,000,000"
2012-08-10,"4,000,100,000,000"
2012-08-13,"3,114,800,000,000"
2012-08-14,"4,006,000,000,000"
2012-08-16,"3,972,900,000,000"
2012-08-17,"4,449,900,000,000"
2012-08-20,"3,786,700,000,000"
2012-08-21,"3,723,800,000,000"
2012-08-22,"4,016,200,000,000"
2012-08-23,"4,133,800,000,000"
2012-08-24,"4,419,300,000,000"
2012-08-27,"5,961,500,000,000"
2012-08-28,"4,358,100,000,000"
2012-08-29,"4,766,800,000,000"
2012-08-30,"4,847,200,000,000"
2012-08-31,"4,394,400,000,000"
2012-09-03,"4,176,200,000,000"
2012-09-04,"4,512,500,000,000"
2012-09-05,"4,622,600,000,000"
2012-09-06,"4,167,100,000,000"
2012-09-07,"5,754,300,000,000"
2012-09-10,"4,325,800,000,000"
2012-09-11,"4,141,500,000,000"
2012-09-12,"5,151,000,000,000"
2012-09-13,"5,968,700,000,000"
2012-09-14,"9,187,600,000,000"
2012-09-17,"6,502,600,000,000"
2012-09-18,"5,032,400,000,000"
2012-09-19,"5,702,700,000,000"
2012-09-20,"5,275,700,000,000"
2012-09-21,"4,904,100,000,000"
2012-09-24,"4,188,900,000,000"
2012-09-25,"4,452,500,000,000"
2012-09-26,"4,730,200,000,000"
2012-09-27,"4,656,800,000,000"
2012-09-28,"4,713,100,000,000"
2012-10-02,"3,603,400,000,000"
2012-10-04,"4,819,800,000,000"
2012-10-05,"4,399,600,000,000"
2012-10-08,"4,020,900,000,000"
2012-10-09,"3,793,000,000,000"
2012-10-10,"4,033,900,000,000"
2012-10-11,"4,678,400,000,000"
2012-10-12,"3,718,100,000,000"
2012-10-15,"4,488,300,000,000"
2012-10-16,"3,775,300,000,000"
2012-10-17,"4,143,500,000,000"
2012-10-18,"4,212,500,000,000"
2012-10-19,"4,056,200,000,000"
2012-10-22,"3,768,000,000,000"
