변환,USD,주식
2011-09-19,1116,4916400000000
2011-09-20,1144,5461900000000
2011-09-21,1142,5877800000000
2011-09-22,1173,5705600000000
2011-09-23,1195,7442800000000
2011-09-26,1175,7283300000000
2011-09-27,1178,6098500000000
2011-09-28,1167,6248700000000
2011-09-29,1183,6595000000000
2011-09-30,1175,6149800000000
2011-10-04,1200,6599400000000
2011-10-05,1191.5,7561000000000
2011-10-06,1183,7770700000000
2011-10-07,1181,7442600000000
2011-10-10,1177,4968100000000
2011-10-11,1161,7030900000000
2011-10-12,1170,5591500000000
2011-10-13,1158,6529700000000
2011-10-14,1160,4990800000000
2011-10-17,1150.5,5842300000000
2011-10-18,1152.3,5659400000000
2011-10-19,1146,5695600000000
2011-10-20,1135.5,6680300000000
2011-10-21,1146,6355700000000
2011-10-24,1146,6664100000000
2011-10-25,1129.5,5969600000000
2011-10-26,1130,5489800000000
2011-10-27,1133,7817100000000
2011-10-28,1094.5,10022900000000
2011-10-31,1104,6255800000000
2011-11-01,1115,6196200000000
2011-11-02,1131,6640000000000
2011-11-03,1125,6206300000000
2011-11-04,1114.5,7089700000000
2011-11-07,1114,5071500000000
2011-11-08,1116,5156400000000
2011-11-09,1112,5474600000000
2011-11-10,1135,7902900000000
2011-11-11,1128,5147900000000
2011-11-14,1120,5185900000000
2011-11-15,1127,4738300000000
2011-11-16,1133,5579100000000
2011-11-17,1136,4666900000000
2011-11-18,1139.6,4712700000000
2011-11-21,1136,3925700000000
2011-11-22,1150,3818100000000
2011-11-23,1145,4592400000000
2011-11-24,1160,6080900000000
2011-11-25,1158,4158700000000
2011-11-28,1160,4195400000000
2011-11-29,1151,6119200000000
2011-11-30,1144,5994500000000
2011-12-01,1123,9232400000000
2011-12-02,1127,5303700000000
2011-12-05,1128,4094800000000
2011-12-06,1130.5,4562600000000
2011-12-07,1130,5691400000000
2011-12-08,1130,5849600000000
2011-12-09,1140.5,5025100000000
2011-12-12,1140,5303700000000
2011-12-13,1163,5210200000000
2011-12-14,1159,4355600000000
2011-12-15,1163,5319600000000
2011-12-16,1159,4292800000000
2011-12-19,1160,6581500000000
2011-12-20,1175,3913300000000
2011-12-21,1155.6,4887900000000
2011-12-22,1153.2,3071400000000
2011-12-23,1150,4209900000000
2011-12-26,1148.5,2972100000000
2011-12-27,1155,4182600000000
2011-12-28,1158,3260400000000
2011-12-29,1157,3365900000000
2012-01-02,1157,3231300000000
2012-01-03,1155,4785300000000
2012-01-04,1145,4655000000000
2012-01-05,1149.5,4793700000000
2012-01-06,1155,4356700000000
2012-01-09,1161,4134300000000
2012-01-10,1158.5,4772200000000
2012-01-11,1155.5,4762000000000
2012-01-12,1159,5309600000000
2012-01-13,1151,5955500000000
2012-01-16,1153,3864800000000
2012-01-17,1150,5873700000000
2012-01-18,1144,5952400000000
2012-01-19,1136,6345500000000
2012-01-20,1134.5,7239000000000
2012-01-25,1129,6065000000000
2012-01-26,1122,5458600000000
2012-01-27,1125,6022700000000
2012-01-30,1121,6327000000000
2012-01-31,1129,6584900000000
2012-02-01,1127,7036600000000
2012-02-02,1120,8594600000000
2012-02-03,1118.5,7418200000000
2012-02-06,1114.8,7225700000000
2012-02-07,1122,6501800000000
2012-02-08,1118,7379300000000
2012-02-09,1117.5,7865700000000
2012-02-10,1120,7499400000000
2012-02-13,1123.7,5676000000000
2012-02-14,1123,6216300000000
2012-02-15,1124.8,7604900000000
2012-02-16,1126.8,6768100000000
2012-02-17,1126.5,7387300000000
2012-02-20,1121,5954200000000
2012-02-21,1124,5551900000000
2012-02-22,1125.1,6104300000000
2012-02-23,1129,6270700000000
2012-02-24,1124.3,5712000000000
2012-02-27,1127,5581100000000
2012-02-28,1127,6255900000000
2012-02-29,1124.3,6708800000000
2012-03-02,1115,5761400000000
2012-03-05,1117.5,5058300000000
2012-03-06,1118,5234300000000
2012-03-07,1128.5,4908200000000
2012-03-08,1123,6243100000000
2012-03-09,1115,5296100000000
2012-03-12,1119,4733600000000
2012-03-13,1123,5582400000000
2012-03-14,1121,6310500000000
2012-03-15,1132,5913000000000
2012-03-16,1126,5093100000000
2012-03-19,1123,4866700000000
2012-03-20,1121.9,5332000000000
2012-03-21,1128.9,5083800000000
2012-03-26,1135,4512700000000
2012-03-27,1135.5,5076400000000
2012-03-28,1138,4994100000000
2012-03-29,1139,4906200000000
2012-03-30,1137.5,5247700000000
2012-04-02,1130,4280400000000
2012-04-03,1125.5,5986200000000
2012-04-04,1127,5766800000000
2012-04-05,1131,5642700000000
2012-04-06,1131,4391300000000
2012-04-09,1135,4275800000000
2012-04-10,1139,4826000000000
2012-04-12,1142.5,4921500000000
2012-04-13,1134,5082700000000
2012-04-16,1135,3846800000000
2012-04-17,1137,3931400000000
2012-04-18,1134.5,4566400000000
2012-04-19,1139,4030900000000
2012-04-20,1139,4750600000000
2012-04-23,1139.2,3520600000000
2012-04-24,1142.5,4983600000000
2012-04-25,1137.5,4941200000000
2012-04-26,1137.5,5268800000000
2012-04-27,1133.5,5284900000000
2012-04-30,1131,6235200000000
2012-05-02,1128.1,6227600000000
2012-05-03,1130.5,4572100000000
2012-05-04,1131.7,4828700000000
2012-05-07,1139.5,4703600000000
2012-05-08,1134,4107900000000
2012-05-09,1139,4893600000000
2012-05-10,1144.5,4379600000000
2012-05-11,1143,4334800000000
2012-05-14,1149,3964800000000
2012-05-15,1154,5114700000000
2012-05-16,1158,5468700000000
2012-05-17,1166,5589100000000
2012-05-18,1169,5654900000000
2012-05-21,1167,4214300000000
